names,scores_ko4_all,logfoldchanges_ko4_all,pvals_ko4_all,pvals_adj_ko4_all,scores_ko2_all,logfoldchanges_ko2_all,pvals_ko2_all,pvals_adj_ko2_all,scores_ko_all,scores_ko4_1der,logfoldchanges_ko4_1der,pvals_ko4_1der,pvals_adj_ko4_1der,scores_ko2_1der,logfoldchanges_ko2_1der,pvals_ko2_1der,pvals_adj_ko2_1der,scores_ko_1der,pvals_min
Hikeshi,-0.0051701907,0.16259006,0.9958748029973908,1.0,0.42930853,0.2504893,0.6676987175514397,1.0,0.42413834,-0.10615762,0.09032427,0.9154572948530877,1.0,0.364504,0.35337716,0.7154816897201339,1.0,0.25834638,0.6676987175514397
Ifit1bl1,,,,,,,,,,0.4255516,0.82059616,0.6704346223369901,1.0,0.38485166,1.0496806,0.7003473151997133,1.0,0.8104032,0.6704346223369901
Cradd,,,,,,,,,,0.05388478,0.39864534,0.9570269635246723,1.0,0.41853058,0.2033703,0.6755592362341477,1.0,0.47241536,0.6755592362341477
Endog,0.018532112,0.18805863,0.9852143600322535,1.0,0.41842464,0.5282995,0.6756366732038435,1.0,0.43695676,0.019803807,0.516897,0.9841998803571026,1.0,0.36169744,0.9035327,0.7175781542469113,1.0,0.38150126,0.6756366732038435
Spout1,0.2064719,0.17217481,0.836422309589278,1.0,0.41053778,0.04971483,0.6814115000595689,1.0,0.6170097,,,,,,,,,,0.6814115000595689
Slc25a45,,,,,,,,,,0.08704464,0.26761764,0.930636026572343,1.0,0.39677963,0.017042203,0.6915299839774615,1.0,0.48382425,0.6915299839774615
Slc46a3,,,,,,,,,,0.09211073,0.5411122,0.9266100605366828,1.0,0.38923696,0.26645312,0.6971008768973325,1.0,0.48134768,0.6971008768973325
Ccr5,,,,,,,,,,0.2694239,0.6698503,0.7876034996363038,1.0,0.3820451,0.3844635,0.7024279168441581,1.0,0.651469,0.7024279168441581
Axin2,,,,,,,,,,0.042370938,0.098056674,0.9662029960890339,1.0,0.38169426,0.16606644,0.7026881492811881,1.0,0.4240652,0.7026881492811881
Wfdc17,0.36379343,2.6365223,0.7160122748229807,1.0,0.31962848,1.967546,0.7492499866089719,1.0,0.6834219,0.19988029,22.704763,0.8415742042037201,1.0,0.38064182,22.543243,0.7034690555780241,1.0,0.5805221,0.7034690555780241
Zmat3,,,,,,,,,,-0.020724915,0.077034704,0.9834650939443379,1.0,0.3629253,1.0815026,0.7166606881705895,1.0,0.34220037,0.7166606881705895
Tfdp2,,,,,,,,,,0.3619952,1.1470133,0.7173556300892019,1.0,0.18909302,0.6160294,0.8500199071044395,1.0,0.5510882,0.7173556300892019
Nudt6,,,,,,,,,,0.122046724,0.9719393,0.9028620160062044,1.0,0.36099577,0.5495391,0.7181026036374243,1.0,0.48304248,0.7181026036374243
