names,scores_ko4_all,logfoldchanges_ko4_all,pvals_ko4_all,pvals_adj_ko4_all,scores_ko2_all,logfoldchanges_ko2_all,pvals_ko2_all,pvals_adj_ko2_all,scores_ko_all,scores_ko4_1der,logfoldchanges_ko4_1der,pvals_ko4_1der,pvals_adj_ko4_1der,scores_ko2_1der,logfoldchanges_ko2_1der,pvals_ko2_1der,pvals_adj_ko2_1der,scores_ko_1der,pvals_max
Pfkfb4,-0.28059646,-1.9116447,0.7790199383385976,1.0,0.15289727,-0.9668983,0.8784792873828385,1.0,-0.1276992,-0.19507076,-2.722106,0.8453375534728713,1.0,-0.21951412,-3.1303895,0.8262495844319635,1.0,-0.41458488,0.7790199383385976
Ahi1,-0.02838976,-0.9024123,0.9773512923786591,1.0,-0.25977093,-1.6673892,0.7950404832314768,1.0,-0.28816068,0.0026360913,-1.2922057,0.9978967058528312,1.0,-0.20111908,-21.639818,0.8406054638712277,1.0,-0.19848299,0.7950404832314768
Spry1,-0.25699332,-2.3027654,0.7971839160196331,1.0,0.12803216,-0.68005013,0.8981235225201494,1.0,-0.12896116,-0.19638881,-21.943726,0.8443058579460511,1.0,-0.10853072,-3.5121486,0.9135747113836967,1.0,-0.30491954,0.7971839160196331
Pikfyve,-0.24626465,-1.0204188,0.8054773725960281,1.0,0.11737569,-0.31491852,0.9065623526778136,1.0,-0.12888896,-0.1904576,-1.8761474,0.8489505656954288,1.0,-0.21951412,-1.1301601,0.8262495844319635,1.0,-0.4099717,0.8054773725960281
Kctd18,-0.2452743,-1.6297017,0.8062440422644322,1.0,-0.21467395,-0.88124776,0.8300215360540416,1.0,-0.45994824,-0.19111662,-2.0950246,0.8484342249251913,1.0,-0.2121561,-1.5349046,0.8319852529192053,1.0,-0.40327272,0.8062440422644322
Ltc4s,,,,,,,,,,-0.19309369,-1.503572,0.8468855936532297,1.0,-0.20970343,-2.6238027,0.8338991483223613,1.0,-0.4027971,0.8338991483223613
Plk2,,,,,,,,,,0.20561512,-0.17747381,0.8370915621452752,1.0,-0.013489694,-1.5513891,0.9892371075920611,1.0,0.19212542,0.8370915621452752
Ifit1,,,,,,,,,,-0.19638881,-21.78897,0.8443058579460511,1.0,-0.20111908,-21.78897,0.8406054638712277,1.0,-0.3975079,0.8406054638712277
Exoc3l4,,,,,,,,,,-0.19638881,-20.57815,0.8443058579460511,1.0,-0.015942367,-0.24361457,0.9872803710921758,1.0,-0.21233118,0.8443058579460511
Mycl,,,,,,,,,,-0.19638881,-21.362226,0.8443058579460511,1.0,-0.01471603,-1.0662191,0.9882587305139138,1.0,-0.21110484,0.8443058579460511
Myh10,,,,,,,,,,-0.19441174,-1.3775369,0.8458535008298906,1.0,-0.116501905,-1.5515416,0.9072547759766539,1.0,-0.31091365,0.8458535008298906
Samd3,,,,,,,,,,0.0019770686,-0.568089,0.9984225285903253,1.0,0.17904504,-0.26180515,0.8579023411329935,1.0,0.18102211,0.8579023411329935
Cdc42ep2,,,,,,,,,,-0.098194405,-21.612629,0.9217779271337841,1.0,-0.0061316793,-0.048205107,0.9951076584599003,1.0,-0.104326084,0.9217779271337841
Gem,,,,,,,,,,-0.09555831,-1.8673524,0.923871376488047,1.0,-0.022074046,-0.394584,0.9823888903117426,1.0,-0.11763235,0.923871376488047
F11r,,,,,,,,,,-0.09028613,-0.50964415,0.9280598429956154,1.0,0.058250953,-0.8499656,0.9535487351486905,1.0,-0.032035176,0.9280598429956154
Slc25a27,,,,,,,,,,0.0019770686,-0.464647,0.9984225285903253,1.0,0.08584351,-0.023604602,0.9315908186534386,1.0,0.08782058,0.9315908186534386
Shld2,,,,,,,,,,0.0059312056,-1.4679565,0.9952676104349276,1.0,0.06622214,-1.796751,0.9472009736479893,1.0,0.072153345,0.9472009736479893
Zgrf1,,,,,,,,,,0.003954137,-0.510989,0.9968450633466566,1.0,-0.034337405,-1.0085764,0.9726080985741684,1.0,-0.030383268,0.9726080985741684
